Nome;CPF;Email;UF;Telefone;Idade;Profissão
Julia Rodrigues;579.042.386-83;rnunes@example.net;Bahia;+55 (071) 9785 9764;23;Esgrimista
Otávio Pires;421.875.369-55;aragaoemanuel@example.net;Espírito Santo;+55 41 6583-3751;29;Lancheiro
Laura Carvalho;804.217.369-50;yagolima@example.net;Rondônia;(041) 7694-4229;37;Contramestre em transporte marítimo
Lorenzo Lopes;978.615.240-94;arthurda-mata@example.org;Paraíba;(071) 4936-2150;37;Terapeuta ocupacional
Ian Alves;574.690.213-61;cardosomilena@example.net;Alagoas;0300 397 1468;68;Dialoguista
Maria Vitória Nogueira;781.293.560-40;pintoemanuella@example.net;Amazonas;+55 61 9985-3259;34;Diagramador
Catarina Silva;015.243.978-14;ana-juliapereira@example.net;Tocantins;(071) 9792 7534;25;Lixeiro/Coletor de lixo
Ana Lívia da Paz;801.649.532-05;emanuelly34@example.org;São Paulo;+55 51 2677 3531;36;DJ
Dra. Alice Lopes;014.378.529-04;kamillycastro@example.com;Rio Grande do Sul;+55 (081) 1121-9166;29;Co-piloto
Alice Porto;602.935.147-80;dcunha@example.com;Acre;(071) 8443-6897;20;Instrutor
Isaac Moura;459.806.732-29;barbara69@example.com;Pernambuco;21 1692 4737;57;Nefrologista
Emanuelly Pereira;029.487.136-50;maitecostela@example.org;Roraima;+55 81 9914-6844;17;Soldado
Lucas Gabriel Cardoso;936.547.210-52;jesuslavinia@example.org;Alagoas;+55 41 6359 2604;72;Engenheiro agrônomo
Isabelly Fernandes;972.016.834-03;lorenasantos@example.net;Distrito Federal;+55 81 0635-2786;41;Ferroviário
Alexia Silva;480.576.239-00;rochamariana@example.net;Pará;+55 31 3523-7351;58;Zootecnista
Theo das Neves;458.621.379-55;mda-mota@example.org;Alagoas;(051) 9466-6432;40;Vigilante noturno/diurno
Dra. Olivia Moreira;693.721.054-06;tfarias@example.net;Piauí;0900 983 2548;53;Ferreiro
Joana Barros;782.405.913-88;moraesjoao-vitor@example.com;Paraná;11 4076-2692;71;Produtor editorial
Renan Duarte;150.436.298-51;camposjoao-pedro@example.net;Rio de Janeiro;21 2756 4475;75;Marcador de luz
Bruno da Mata;206.543.879-74;fda-paz@example.net;Maranhão;+55 84 9800-2755;32;Tecnólogo em produção de bebidas
Gustavo Cardoso;794.321.506-07;mendesmaysa@example.org;Mato Grosso;21 4062 7056;57;Cientista de alimentos
Milena Azevedo;049.186.357-84;martinsnina@example.net;Espírito Santo;+55 (021) 7770 3016;78;Profissional de cinema
Maria Clara Alves;206.849.715-85;sarahbarros@example.net;Paraíba;(084) 8137-3506;26;Biotecnólogo
